,Interval,Subject Type,Frame Index,Timestamp(x),Orbital,Nose,Ears,Whiskers,Cheek,Total Grimace Score,AU Scored,Confidence(Orbital),Confidence(Nose),Confidence(Ears),Confidence(Whiskers),Confidence(Cheek),Face Model,MGS Model
0,Clip 1: 000.csv,c57bl/6,0,0.0,1,-1,2,-1,,,2,0.7642524838447571,0.0,0.9996275901794434,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
1,Clip 1: 000.csv,c57bl/6,240,1.001,1,-1,2,-1,,,2,0.7465163469314575,0.0,0.9999710321426392,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
2,Clip 1: 000.csv,c57bl/6,480,2.002,2,2,1,-1,,,3,0.8239700198173523,0.9978302121162416,0.9990100860595704,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
3,Clip 1: 000.csv,c57bl/6,720,3.003,-1,-1,-1,-1,,,0,0.0,0.0,0.0,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
4,Clip 1: 000.csv,c57bl/6,960,4.004,-1,2,1,-1,,,2,0.0,0.8153684139251709,0.9999972581863404,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
5,Clip 1: 000.csv,c57bl/6,1200,5.005,-1,-1,-1,-1,,,0,0.0,0.0,0.0,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
6,Clip 1: 000.csv,c57bl/6,1440,6.006,-1,-1,-1,-1,,,0,0.0,0.0,0.0,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
7,Clip 1: 000.csv,c57bl/6,1680,7.007000000000001,-1,-1,-1,-1,,,0,0.0,0.0,0.0,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
8,Clip 1: 000.csv,c57bl/6,1920,8.008000000000001,-1,-1,-1,-1,,,0,0.0,0.0,0.0,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
9,Clip 1: 000.csv,c57bl/6,2160,9.009,1,-1,-1,-1,,,1,0.9999505281448364,0.0,0.0,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
10,Clip 1: 000.csv,c57bl/6,2400,10.01,-1,-1,-1,-1,,,0,0.0,0.0,0.0,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
11,Clip 1: 000.csv,c57bl/6,2640,11.011,-1,-1,-1,-1,,,0,0.0,0.0,0.0,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
12,Clip 1: 000.csv,c57bl/6,2880,12.012,-1,-1,-1,-1,,,0,0.0,0.0,0.0,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
13,Clip 1: 000.csv,c57bl/6,3120,13.013,-1,-1,-1,-1,,,0,0.0,0.0,0.0,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
14,Clip 1: 000.csv,c57bl/6,3360,14.014,-1,-1,-1,-1,,,0,0.0,0.0,0.0,0.0,,general/fau/generalv5,c57bl6-pain-mgs-20220901
